問題番号,問題文,ア,イ,ウ,エ,答
3,コンピュータの高速化技術の一つであるメモリインタリーブに関する記述として， 適切なものはどれか。,"主記憶と入出力装置，又は主記憶同士のデータの受渡しをCPU経由でなく直接や
り取りする方式","主記憶にデータを送り出す際に，データをキャッシュに書き込み，キャッシュが
あふれたときに主記憶へ書き込む方式","主記憶のデータの一部をキャッシュにコピーすることによって，レジスタと主記
憶とのアクセス速度の差を縮める方式","主記憶を複数の独立して動作するグループに分けて，各グループに並列にアクセ
スする方式",エ
4,エッジコンピューティングの説明として，最も適切なものはどれか。,"画面生成やデータ処理をクライアント側で実行することによって，Web アプリケ
ーションソフトウェアの操作性や表現力を高めること","データが送信されてきたときだけ必要なサーバを立ち上げて，処理が終わり次第
サーバを停止してリソースを解放すること","複数のサーバや PC を仮想化して統合することによって一つの高性能なコンピュ
ータを作り上げ，並列処理によって処理能力を高めること","利用者や機器に取り付けられたセンサなどのデータ発生源に近い場所にあるサー
バなどでデータを一次処理し，処理のリアルタイム性を高めること",エ
5,3次元グラフィックス処理におけるクリッピングの説明はどれか。,"CG 映像作成における最終段階として，物体のデータをディスプレイに描画でき
るように映像化する処理である。","画像表示領域にウィンドウを定義し，ウィンドウの外側を除去し，内側の見える
部分だけを取り出す処理である。","スクリーンの画素数が有限であるために図形の境界近くに生じる，階段状のギザ
ギザを目立たなくする処理である。",立体感を生じさせるために，物体の表面に陰影を付ける処理である。,イ
6,次の関数従属を満足するとき，成立する推移的関数従属はどれか。ここで，“A→ B”は Bが Aに関数従属していることを表し，“A→｛B，C｝”は，“A→B”かつ“A→ C”が成立することを表す。 〔関数従属〕 ｛注文コード，商品コード｝→｛顧客注文数量，注文金額｝ 注文コード →｛注文日，顧客コード，注文担当者コード｝ 商品コード →｛商品名，仕入先コード，商品販売価格｝ 仕入先コード →｛仕入先名，仕入先住所，仕入担当者コード｝ 顧客コード →｛顧客名，顧客住所｝,仕入先コード → 仕入担当者コード → 仕入先住所,商品コード → 仕入先コード → 商品販売価格,注文コード → 顧客コード → 顧客住所,注文コード → 商品コード → 顧客注文数量,ウ
7,トランザクションが，データベースに対する更新処理を完全に行うか，全く処理し なかったかのように取り消すか，のどちらかの結果になることを保証する特性はどれ か。,一貫性（consistency）,原子性（atomicity）,耐久性（durability）,独立性（isolation）,イ
8,IPv4ネットワークにおいて，ネットワークの疎通確認に使われるものはどれか。,BOOTP,DHCP,MIB,ping,エ
9,ドライブバイダウンロード攻撃に該当するものはどれか。,"PC から物理的にハードディスクドライブを盗み出し，その中のデータを Web サ
イトで公開し，ダウンロードさせる。","電子メールの添付ファイルを開かせて，マルウェアに感染した PC のハードディ
スクドライブ内のファイルを暗号化し，元に戻すための鍵を攻撃者のサーバからダ
ウンロードさせることと引換えに金銭を要求する。 
ぜい","利用者が悪意のある Web サイトにアクセスしたときに，Web ブラウザの脆弱性を
悪用して利用者のPCをマルウェアに感染させる。","利用者に気付かれないように無償配布のソフトウェアに不正プログラムを混在さ
せておき，利用者の操作によって PC にダウンロードさせ，インストールさせるこ
とでハードディスクドライブから個人情報を収集して攻撃者のサーバに送信する。",ウ
10,図のような構成と通信サービスのシステムにおいて，Web アプリケーションの脆弱 性対策のための WAF の設置場所として，最も適切な箇所はどこか。ここで，WAF には 通信を暗号化したり，復号したりする機能はないものとする。 PC PC PC インターネット HTTPS a ファイアウォール HTTPS b SSLアクセラレータ HTTP c Webサーバ データベース d アクセス用サービス データベースサーバ,a,b,c,d,ウ
15,ハイブリッドクラウドの説明はどれか。,"クラウドサービスが提供している機能の一部を，自社用にカスタマイズして利用
すること","クラウドサービスのサービス内容を，消費者向けと法人向けの両方を対象とする
ように構成して提供すること","クラウドサービスのサービス内容を，有償サービスと無償サービスとに区分して
提供すること","自社専用に使用するクラウドサービスと，汎用のクラウドサービスとの間でデー
タ及びアプリケーションソフトウェアの連携や相互運用が可能となる環境を提供す
ること",エ
16,ダイバーシティマネジメントの説明はどれか。,"従業員が仕事と生活の調和を図り，やりがいをもって業務に取り組み，組織の活
力を向上させることである。","性別や年齢，国籍などの面で従業員の多様性を尊重することによって，組織の活
力を向上させることである。","自ら設定した目標の達成を目指して従業員が主体的に業務に取り組み，その達成
度に応じて評価が行われることである。","労使双方が労働条件についての合意を形成し，協調して収益の増大を目指すこと
である。",イ
17,ERPを説明したものはどれか。,"営業活動に IT を活用して営業の効率と品質を高め，売上・利益の大幅な増加や，
顧客満足度の向上を目指す手法・概念である。","卸売業・メーカが小売店の経営活動を支援することによって，自社との取引量の
拡大につなげる手法・概念である。","企業全体の経営資源を有効かつ総合的に計画して管理し，経営の効率向上を図る
ための手法・概念である。","消費者向けや企業間の商取引を，インターネットなどの電子的なネットワークを
活用して行う手法・概念である。",ウ
18,イノベータ理論では，消費者を新製品の購入時期によって，イノベータ，アーリー アダプタ，アーリーマジョリティ，レイトマジョリティ，ラガードの五つに分類す る。アーリーアダプタの説明として，適切なものはどれか。,"新しい製品及び新技術の採用には懐疑的で，周囲の大多数が採用している場面を
見てから採用する層",新商品，サービスなどを，リスクを恐れず最も早い段階で受容する層,"新商品，サービスなどを早期に受け入れ，消費者に大きな影響を与える層であり，
流行に敏感で，自ら情報収集を行い判断する層","世の中の動きに関心が薄く，流行が一般化してからそれを採用することが多い層
であり，場合によっては不採用を貫く，最も保守的な層",ウ
19,CIOの説明はどれか。,経営戦略の立案及び業務執行を統括する最高責任者,資金調達，財務報告などの財務面での戦略策定及び執行を統括する最高責任者,自社の技術戦略や研究開発計画の立案及び執行を統括する最高責任者,情報管理，情報システムに関する戦略立案及び執行を統括する最高責任者,エ
